Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,13,0,0,0,2,2,0,0,0,0
Sales management,1182,0,19,5,113,13,0,0,0,93
market/marketing,1326,0,30,13,81,6,0,0,0,78
Sales ,3337,0,52,8,139,7,0,0,0,145
Computer hardware,6,0,0,0,2,0,0,0,0,1
Internet development and application,86,0,0,0,23,0,0,0,0,0
IT-Management,8,0,0,0,2,0,0,0,0,2
"IT-QM, technical support and more",143,0,0,2,3,6,0,0,0,35
Communications technology,2,0,0,2,0,0,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,166,0,0,1,23,4,0,0,0,7
Finance/auditing/tax,428,0,4,12,110,19,0,0,0,60
Engineering/machinery/energy,317,0,3,10,27,24,0,0,0,24
HR,326,0,0,0,99,8,0,0,0,16
Senior management,31,0,0,0,4,5,0,0,0,7
Logistics/warehousing,422,0,21,7,33,0,0,0,0,64
Art/graphics/Animation design,204,0,4,1,31,0,0,0,0,20
Science & Technology,2,0,0,0,1,0,0,0,0,0
Legal profession/law,21,0,0,0,2,0,0,0,0,7
Education,138,0,0,4,15,9,5,0,0,2
Hospital/medical/care,27,0,0,0,2,0,0,0,0,5
Counsel/consulting,377,2,10,0,14,0,0,0,0,6
Transportation service,131,8,1,0,3,0,0,0,0,23
Translation,1,0,0,0,0,1,0,0,0,0
Construction/infrastructure/gardening,772,2,1,13,110,10,0,0,0,39
Banking,10,0,1,0,0,0,0,0,0,0
Office administration/logistics,610,0,21,7,115,8,0,0,0,70
Customer service and technical support,1059,0,25,9,49,0,0,0,0,38
Securities/finance/investment,47,0,0,1,6,0,0,0,0,0
Insurance,77,0,0,0,10,0,0,0,0,2
Production/operation,164,3,1,1,13,0,0,0,0,25
QMS/safety/environmental protection,99,0,4,1,19,0,0,0,0,8
Technical work,660,8,18,21,7,0,0,0,0,77
Procurement,22,2,1,1,6,0,0,0,0,2
Trade,43,0,0,0,8,3,0,0,0,6
Biology/chemicals/pharmaceuticals/medical equipment,248,0,5,0,8,4,0,0,0,4
Advertising,68,0,0,0,1,0,0,0,0,17
PRs and news media,2,0,0,0,1,0,0,0,0,0
"Movies, TV and recreation",20,0,0,0,1,0,0,0,0,0
Literature/screenwriting/writing,50,0,2,1,3,5,0,0,0,16
Real property,793,0,4,3,8,0,0,0,0,24
Property management,73,0,6,4,1,0,0,0,0,9
Restaurants & recreation,620,9,4,0,6,0,0,0,0,71
Hotels/tourism,187,4,9,2,25,0,0,0,0,30
Beauty and personal care,40,0,0,0,2,0,0,0,0,0
General merchandise/chains/retail,166,3,7,0,7,0,0,0,0,10
Security/housekeeping/other,110,4,0,0,4,0,0,0,0,26
Graduates,334,0,0,5,13,6,0,0,0,1
Other,1051,4,7,7,54,6,1,0,0,61
